Date,Title,Length
January 28 2007,Space Shuttle Challenger disaster,49053
January 29 2007,Hurricane Juan,16552
January 30 2007,New Radicals,14186
January 31 2007,Regulamentul Organic,32417
February 1 2007,Star Wars Episode I: The Phantom Menace,61352
February 2 2007,Seabirds,34029
February 3 2007,Syed Ahmed Khan,49261
February 4 2007,Ecclesiastical heraldry,25438
February 5 2007,T-34,68738
February 6 2007,Scouting,33985
February 7 2007,Alison Krauss,23800
February 8 2007,Vancouver,63397
February 9 2007,Scottish Parliament,36844
February 10 2007,Sheikh Mujibur Rahman,45562
February 11 2007,Able Archer 83,28303
February 12 2007,Make Way for Ducklings,9620
February 13 2007,DNA,56287
February 14 2007,California Gold Rush,38911
February 15 2007,Charles Atangana,23297
February 16 2007,flag of Lithuania,13018
February 17 2007,polar coordinate system,34053
February 18 2007,Sly & the Family Stone,27998
February 19 2007,The Four Stages of Cruelty,20590
February 20 2007,Mary Wollstonecraft,48598
February 21 2007,Avatar: The Last Airbender,32846
February 22 2007,Shadow of the Colossus,58770
February 23 2007,Ahmedabad,43651
February 24 2007,Oriel College,37608
February 25 2007,Enta Da Stage,12593
February 26 2007,Sviatoslav I of Kiev,17769
February 27 2007,Banksia integrifolia,18937
February 28 2007,Aspasia,16638
March 1 2007,immune system,48405
March 2 2007,Chicago Bears,47808
March 3 2007,galaxy,51552
March 4 2007,Turkey,107047
March 5 2007,Law,63809
March 6 2007,Battle of Ceresole,19739
March 7 2007,New Orleans Mint,21304
March 8 2007,Lead(II) nitrate,6058
March 9 2007,The KLF,43194
March 10 2007,Buffy the Vampire Slayer,60643
March 11 2007,Act of Independence of Lithuania,18526
March 12 2007,Mini Moke,20089
March 13 2007,Cricket World Cup,22041
March 14 2007,Same-sex marriage in Spain,26027
March 15 2007,Hurricane Iniki,19212
March 16 2007,Indian Institute of Technology Kharagpur,43650
March 17 2007,Jocelin,16160
March 18 2007,"Theatre Royal, Drury Lane",35665
March 19 2007,Uranium,48624
March 20 2007,Final Fantasy VII,78714
March 21 2007,Triceratops,40052
March 22 2007,Fourth International,31137
March 23 2007,(I Can't Get No) Satisfaction,15069
March 24 2007,Wesley Clark,50258
March 25 2007,Ian Thorpe,51783
March 26 2007,Finnish Civil War,77446
March 27 2007,"Aradia, or the Gospel of the Witches",20169
March 28 2007,Pashtun people,64934
March 29 2007,Cleveland,84939
March 30 2007,Ivan Alexander,14211
March 31 2007,New Carissa,19804
April 1 2007,George Washington,13504
April 2 2007,Gremlins 2,30416
April 3 2007,Ziaur Rahman,28167
April 4 2007,Mandy Moore,39919
April 5 2007,Medieval cuisine,74487
April 6 2007,The Turk,28
April 7 2007,Germany,55730
April 8 2007,Daniel Webster,59189
April 9 2007,Solar System,54532
April 10 2007,dime,16907
April 11 2007,Anton Chekhov,30444
April 12 2007,Scooby-Doo,41275
April 13 2007,fairy tale,42332
April 14 2007,Hamersley,29528
April 15 2007,1 − 2 + 3 − 4 + · · ·,15914
April 16 2007,George VI,27044
April 17 2007,United States Marine Corps,70491
April 18 2007,Wii,56367
April 19 2007,Charles Darwin,69072
April 20 2007,Yosemite National Park,51377
April 21 2007,City of Manchester Stadium,39411
April 22 2007,Dhaka,49089
April 23 2007,The Waterboys,26144
April 24 2007,Hurricane Edith,12603
April 25 2007,Maserati MC12,19937
April 26 2007,Michael Woodruff,19246
April 27 2007,Some Thoughts Concerning Education,22264
April 28 2007,Adam Gilchrist,50744
April 29 2007,Arctic Tern,12460
April 30 2007,military brat,49176
May 1 2007,1994 San Marino Grand Prix,27681
May 2 2007,Scottish Parliament Building,41748
May 3 2007,William Monahan,9058
May 4 2007,Gilwell Park,23250
May 5 2007,history of Tamil Nadu,56313
May 6 2007,Elliott Smith,42324
May 7 2007,Rhodes blood libel,19572
May 8 2007,Mars,53949
May 9 2007,Hovhannes Bagramyan,32065
May 10 2007,Campbell's Soup Cans,23495
May 11 2007,Minnesota,58170
May 12 2007,Eurovision Song Contest,71634
May 13 2007,Baby Gender Mentor,18608
May 14 2007,cell nucleus,39451
May 15 2007,Japan,53665
May 16 2007,Gilberto Silva,23594
May 17 2007,35 mm film,20
May 18 2007,Ohio Wesleyan University,39451
May 19 2007,Parliament Acts,23861
May 20 2007,Uncle Tom's Cabin,38055
May 21 2007,Mayan languages,38581
May 22 2007,Ellis Paul,36679
May 23 2007,Jerusalem,92871
May 24 2007,tornado,48882
May 25 2007,Star Wars Episode IV: A New Hope,96633
May 26 2007,Diplodocus,32555
May 27 2007,Simeon I,24052
May 28 2007,Calvin Coolidge,51555
May 29 2007,Caspian expeditions of the Rus,13454
May 30 2007,Sydney Roosters,26497
May 31 2007,Smells Like Teen Spirit,27741
June 1 2007,Basiliscus,26767
June 2 2007,Harriet Arbuthnot,13603
June 3 2007,Taiwanese aborigines,84036
June 4 2007,Excel Saga,12985
June 5 2007,Frank Klepacki,31094
June 6 2007,Jupiter,45034
June 7 2007,Battle of Midway,67440
June 8 2007,Atheism,62059
June 9 2007,Aaron Sorkin,37403
June 10 2007,flag of Portugal,35921
June 11 2007,cougar,30969
June 12 2007,El Hatillo Municipality,29791
June 13 2007,Hollaback Girl,18710
June 14 2007,Kazi Nazrul Islam,27015
June 15 2007,meteorological history of Hurricane Katrina,12451
June 16 2007,Robert Garran,28466
June 17 2007,Norwich City Football Club,30419
June 18 2007,history of Puerto Rico,67284
June 19 2007,Hippocrates,19688
June 20 2007,Final Fantasy VI,35713
June 21 2007,Boston,72301
June 22 2007,Antioxidants,28650
June 23 2007,Turkish,33837
June 24 2007,B-52 aircraft crash at Fairchild Air Force Base,20001
June 25 2007,All Blacks,49991
June 26 2007,Elizabeth Bowes-Lyon,35067
June 27 2007,Slayer,48492
June 28 2007,Wonderbra,15877
June 29 2007,Shuttle-Mir Program,34452
June 30 2007,New Jersey Devils,48509
July 1 2007,Islam,67074
July 2 2007,Search engine optimization,23993
July 3 2007,West Wycombe Park,21787
July 4 2007,Samuel Adams,60206
July 5 2007,Battle of Savo Island,39516
July 6 2007,2012 Summer Olympics bids,28052
July 7 2007,Himno Nacional Mexicano,24686
July 8 2007,Ion Heliade Rădulescu,47366
July 9 2007,Ebionites,23078
July 10 2007,building of the World Trade Center,48211
July 11 2007,Daylight saving time,40724
July 12 2007,Mourning Dove,18222
July 13 2007,The Wire,65659
July 14 2007,climate of India,42099
July 15 2007,Johannes Kepler,51841
July 16 2007,Holden VE Commodore,46995
July 17 2007,Pierre Rossier,10702
July 18 2007,Republic of Cameroon,47894
July 19 2007,Fighting in ice hockey,32039
July 20 2007,"Christopher C. Kraft, Jr.",33279
July 21 2007,An Experiment on a Bird in the Air Pump,23312
July 22 2007,Domenico Selvo,19130
July 23 2007,cyclol,21229
July 24 2007,Ben Gurion International Airport,31090
July 25 2007,Third Servile War,24906
July 26 2007,oceanic whitetip shark,13203
July 27 2007,Homer's Phobia,13468
July 28 2007,Hurricane Kenna,11197
July 29 2007,Zhou Tong,40101
July 30 2007,Kate Bush,49768
July 31 2007,École Polytechnique massacre,26186
August 1 2007,Robert Baden-Powell,26104
August 2 2007,Super Nintendo Entertainment System,30099
August 3 2007,supernova,60779
August 4 2007,"Wallis, Duchess of Windsor",29418
August 5 2007,Mauna Loa,42364
August 6 2007,European Parliament,60544
August 7 2007,William Tecumseh Sherman,70256
August 8 2007,Encyclopædia Britannica,48980
August 9 2007,Three Studies for Figures at the Base of a Crucifixion,19912
August 10 2007,Beagle,31306
August 11 2007,Backmasking,34280
August 12 2007,Toraja,27852
August 13 2007,Maximus the Confessor,10069
August 14 2007,Postage stamps of Ireland,27868
August 15 2007,Report of 1800,17631
August 16 2007,Rail transport in India,42006
August 17 2007,Indonesia,61916
August 18 2007,"effects of Hurricane Isabel in Maryland and Washington, D.C.",23326
August 19 2007,architecture of Windows NT,14035
August 20 2007,Grand Duchess Olga Nikolaevna of Russia,44313
August 21 2007,Old Dan Tucker,18376
August 22 2007,Gwoyeu Romatzyh,11704
August 23 2007,Jake Gyllenhaal,26197
August 24 2007,Sheerness,22755
August 25 2007,William Goebel,17762
August 26 2007,York City F.C.,26141
August 27 2007,Harold and Inge Marcus Department of Industrial and Manufacturing Engineering,23780
August 28 2007,Moon,72275
August 29 2007,Archaeopteryx,45317
August 30 2007,Houston,85742
August 31 2007,Ulm Campaign,24978
September 1 2007,Lage Raho Munna Bhai,26716
September 2 2007,John Millington Synge,15206
September 3 2007,Hamlet chicken processing plant fire,43458
September 4 2007,Australia's participation in the Winter Olympics,50159
September 5 2007,Olm,22062
September 6 2007,Jersey Shore shark attacks of 1916,27975
September 7 2007,The Bus Uncle,14684
September 8 2007,renewable energy in Scotland,40210
September 9 2007,Hey Ya!,15487
September 10 2007,Fun Home,32680
September 11 2007,Fightin' Texas Aggie Band,25687
September 12 2007,thou,21617
September 13 2007,Amanita phalloides,21995
September 14 2007,Dungeons & Dragons,43920
September 15 2007,Georg Cantor,40902
September 16 2007,France national rugby union team,29050
September 17 2007,Soviet invasion of Poland of 1939,40878
September 18 2007,Wood Badge,17589
September 19 2007,Harry S. Truman,88531
September 20 2007,Chad,39614
September 21 2007,eye,15485
September 22 2007,Bald Eagle,57049
September 23 2007,Ramón Emeterio Betances,59993
September 24 2007,Blood Sugar Sex Magik,25491
September 25 2007,inaugural games of the Flavian Amphitheatre,22476
September 26 2007,"Hannah Primrose, Countess of Rosebery",45623
September 27 2007,pilot episode,16318
September 28 2007,Saint Henry,30951
September 29 2007,trade and use of saffron,9690
September 30 2007,Ernest Emerson,24649
October 1 2007,House with Chimaeras,12927
October 2 2007,Eastern Suburbs & Illawarra railway line,18560
October 3 2007,1981 Irish hunger strike,20084
October 4 2007,Kingdom Hearts,31252
October 5 2007,Orion,28860
October 6 2007,New York City,123795
October 7 2007,Pluto,43659
October 8 2007,Guinea pigs,43984
October 9 2007,Night of the Long Knives,38603
October 10 2007,William Shakespeare,43352
October 11 2007,The Smashing Pumpkins,42456
October 12 2007,Intelligent design,62882
October 13 2007,Knights Templar,31561
October 14 2007,battleship,49432
October 15 2007,Donkey Kong,41095
October 16 2007,John Mayer,49747
October 17 2007,Truthiness,15390
October 18 2007,Barnard's Star,16124
October 19 2007,Larrys Creek,27281
October 20 2007,England national rugby union team,40947
October 21 2007,George I of Greece,25381
October 22 2007,Enzyme kinetics,39461
October 23 2007,El Al,38227
October 24 2007,cardinal-nephew,24374
October 25 2007,2000 Sri Lanka cyclone,8423
October 26 2007,Bob Meusel,11682
October 27 2007,Siege of Malakand,18419
October 28 2007,Shen Kuo,58104
October 29 2007,Girl Scouts of the United States of America,47219
October 30 2007,plug-in hybrid,54336
October 31 2007,Halloween II,27
November 1 2007,Karnataka,49529
November 2 2007,Arrest and assassination of Ngô Đình Diệm,37475
November 3 2007,Four Times of the Day,25504
November 4 2007,1880 Republican National Convention,39602
November 5 2007,GameFAQs,15309
November 6 2007,Beijing opera,45059
November 7 2007,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,31760
November 8 2007,Webley Revolver,14021
November 9 2007,Montreal Screwjob,49411
November 10 2007,rings of Jupiter,23353
November 11 2007,Bobcat,27114
November 12 2007,Naval Battle of Guadalcanal,45512
November 13 2007,Michael Jordan,61013
November 14 2007,restoration of the Sistine Chapel frescoes,32994
November 15 2007,Halo: Combat Evolved,34989
November 16 2007,Oklahoma,67689
November 17 2007,Honoré de Balzac,36741
November 18 2007,Lung cancer,44163
November 19 2007,Sophie Blanchard,15986
November 20 2007,Nine Inch Nails,62887
November 21 2007,7 World Trade Center,28547
November 22 2007,Francium,16014
November 23 2007,Red Barn Murder,23309
November 24 2007,surface weather analysis,17568
November 25 2007,Ordinances of 1311,13645
November 26 2007,Cillian Murphy,26392
November 27 2007,winter service vehicle,26426
November 28 2007,Andrew Cunningham,26015
November 29 2007,A Vindication of the Rights of Men,31477
November 30 2007,Jogaila,27627
December 1 2007,Hoysala architecture,23491
December 2 2007,Georgetown University,58723
December 3 2007,Branded to Kill,27225
December 4 2007,California Condor,27151
December 5 2007,Charles Edward Magoon,14765
December 6 2007,The Raven,26933
December 7 2007,Uranus,50684
December 8 2007,Krill,21218
December 9 2007,Belarusian Republican Youth Union,8467
December 10 2007,Brown Dog affair,34899
December 11 2007,Ehime Maru and USS Greeneville collision,40667
December 12 2007,Yasser Arafat,61880
December 13 2007,Lethbridge,25283
December 14 2007,A Very Merry Unauthorized Children's Scientology Pageant,25177
December 15 2007,2006 South Australian general election,36184
December 16 2007,Lee Smith,23356
December 17 2007,The Simpsons,66697
December 18 2007,Heian Palace,16989
December 19 2007,Tropical Storm Allison,24598
December 20 2007,Dorset,43812
December 21 2007,Bupropion,27166
December 22 2007,Aggie Bonfire,20726
December 23 2007,German occupation of Luxembourg in World War I,29784
December 24 2007,Nancy Reagan,49386
December 25 2007,Flight feathers,25346
December 26 2007,Ladakh,42147
December 27 2007,Religious debates over Harry Potter,50432
December 28 2007,William Bruce,20821
December 29 2007,Love. Angel. Music. Baby.,19284
December 30 2007,Ganesha,40656
December 31 2007,2006 Chick-fil-A Bowl,28766
January 1 2008,Ulysses,22156
January 2 2008,Gregory of Nazianzus,19596
January 3 2008,Fin Whale,44460
January 4 2008,William Cooley,16526
January 5 2008,Queluz National Palace,22702
January 6 2008,G. Ledyard Stebbins,20613
January 7 2008,Ælle,11848
January 8 2008,Chicxulub Crater,29782
January 9 2008,Swedish emigration to the United States,29324
January 10 2008,Oregon State Capitol,24946
January 11 2008,Boshin War,31868
January 12 2008,Trembling Before G-d,13252
January 13 2008,2007 UEFA Champions League Final,20615
January 14 2008,British anti-invasion preparations of World War II,55311
January 15 2008,Reign in Blood,19629
January 16 2008,Alaska Mental Health Enabling Act,25934
January 17 2008,John Day,12939
January 18 2008,SR Merchant Navy Class,28073
January 19 2008,Tuck School of Business,19640
January 20 2008,Jack Sheppard,24746
January 21 2008,Bruno Maddox,12806
January 22 2008,geology of the Lassen volcanic area,26013
January 23 2008,Stede Bonnet,24945
January 24 2008,Crazy Taxi,20845
January 25 2008,treatments for multiple sclerosis,38027
January 26 2008,Daniel Boone,37758
January 27 2008,Hamlet,73735
January 28 2008,Battle of Ramillies,38524
January 29 2008,Archimedes,37089
January 30 2008,"""Manos"" The Hands of Fate",25299
January 31 2008,Aikido,25160
February 1 2008,Through the Looking Glass,18311
February 2 2008,Dookie,13988
February 3 2008,history of American football,73991
February 4 2008,Knut,20732
February 5 2008,Las Meninas,39081
February 6 2008,Ronald Reagan,108176
February 7 2008,Thoughts on the Education of Daughters,18570
February 8 2008,golden plates,42436
February 9 2008,Boeing 747,56932
February 10 2008,Xenon,36344
February 11 2008,Peru,69818
February 12 2008,Constitution of Belarus,24344
February 13 2008,Irish phonology,36756
February 14 2008,Barn Swallow,24392
February 15 2008,Hurricane Isis,12109
February 16 2008,Agatha Christie: Murder on the Orient Express,26560
February 17 2008,Quneitra,21820
February 18 2008,Bobby Robson,34709
February 19 2008,Battle of the Gebora,14453
February 20 2008,Tech Tower,17867
February 21 2008,Bengali Language Movement,23604
February 22 2008,Rachel Carson,45203
February 23 2008,East End of London,90047
February 24 2008,Ban Ki-moon,44205
February 25 2008,Kinetoscope,35321
February 26 2008,Europa,38428
February 27 2008,Axis naval activity in Australian waters,45590
February 28 2008,M62 motorway,18206
February 29 2008,Hamilton,33628
March 1 2008,Joseph Priestley,63796
March 2 2008,Josquin des Prez,59474
March 3 2008,Crusaders,28486
March 4 2008,The Philadelphia Inquirer,32397
March 5 2008,changed the rating of The Elder Scrolls IV: Oblivion,13459
March 6 2008,Pre-dreadnought battleships,30493
March 7 2008,Hockey Hall of Fame,20605
March 8 2008,Hoysala Empire,24352
March 9 2008,Plano Senior High School,17930
March 10 2008,Slavery in ancient Greece,38022
March 11 2008,John Knox,38040
March 12 2008,Melodifestivalen,28516
March 13 2008,Cretaceous–Tertiary extinction event,51021
March 14 2008,Oxygen,45935
March 15 2008,Trapped in the Closet,25053
March 16 2008,Storm botnet,18467
March 17 2008,Sir Gawain and the Green Knight,56195
March 18 2008,"Princess Louise, Duchess of Argyll",35655
March 19 2008,Nutrition Assistance for Puerto Rico,17185
March 20 2008,Paleolithic-style diet,14541
March 21 2008,Surfer Rosa,14893
March 22 2008,Reese Witherspoon,40880
March 23 2008,Freedom Monument,18769
March 24 2008,sea otter,52598
March 25 2008,technology of the Song Dynasty,47005
March 26 2008,Flag of Armenia,9054
March 27 2008,1933 Atlantic hurricane season,31341
March 28 2008,E. Urner Goodman,21210
March 29 2008,Free Association of German Trade Unions,27151
March 30 2008,December to Dismember (2006),15508
March 31 2008,Armed Forces of the Democratic Republic of Congo,62097
April 1 2008,Ima Hogg,30776
April 2 2008,Neilston,28404
April 3 2008,Celine Dion,79001
April 4 2008,Oliver Typewriter Company,8974
April 5 2008,Bette Davis,58614
April 6 2008,Tomb of Antipope John XXIII,22175
April 7 2008,Rotavirus,25984
April 8 2008,Suleiman the Magnificent,35444
April 9 2008,Victoria Cross,34357
April 10 2008,Chrono Trigger,50116
April 11 2008,J. K. Rowling,57593
April 12 2008,Kansas Turnpike,37308
April 13 2008,Lisa del Giocondo,9899
April 14 2008,1999 Sydney hailstorm,13954
April 15 2008,Ailanthus altissima,31934
April 16 2008,Virginia Tech massacre,56369
April 17 2008,Dawson Creek,21953
April 18 2008,Cannibal Holocaust,38766
April 19 2008,Emma Goldman,63654
April 20 2008,Reactive attachment disorder,41409
April 21 2008,monarchy of the United Kingdom,55623
April 22 2008,Pearl Jam,50826
April 23 2008,Thierry Henry,45467
April 24 2008,Vasa,51529
April 25 2008,ocean sunfish,17027
April 26 2008,Manzanar,40340
April 27 2008,Peter Jennings,38433
April 28 2008,Prince's Palace of Monaco,32978
April 29 2008,BAE Systems,43371
April 30 2008,Anabolic steroids,64555
May 1 2008,Discovery Expedition,33558
May 2 2008,Satyajit Ray,45065
May 3 2008,The Third of May 1808,22351
May 4 2008,Huldrych Zwingli,49229
May 5 2008,El Señor Presidente,47966
May 6 2008,Battle of Blenheim,43345
May 7 2008,West Indian cricket team in England in 1988,33282
May 8 2008,Israel,111592
May 9 2008,Glynn Lunney,18066
May 10 2008,flag of Germany,34643
May 11 2008,history of the U.S. state of Minnesota,57197
May 12 2008,Battlefield Earth: A Saga of the Year 3000,43683
May 13 2008,Nahuatl,49226
May 14 2008,Super Smash Bros. Melee,22639
May 15 2008,Royal Blue,18814
May 16 2008,Elagabalus,28400
May 17 2008,Redwood National and State Parks,25815
May 18 2008,Coeliac disease,50003
May 19 2008,cannon,64410
May 20 2008,Weymouth,24
May 21 2008,Elderly Instruments,14300
May 22 2008,Edward Low,21099
May 23 2008,Chinese society during the Song Dynasty,88189
May 24 2008,lion,51631
May 25 2008,Stanley Cup,36850
May 26 2008,Nguyen Ngoc Tho,28448
May 27 2008,F-4 Phantom II,50288
May 28 2008,Troy McClure,9790
May 29 2008,Oil shale,23131
May 30 2008,D. B. Cooper,79375
May 31 2008,Bratislava,45447
June 1 2008,Ran,25128
June 2 2008,Harold Innis,37961
June 3 2008,Confederate government of Kentucky,20505
June 4 2008,Funerary Monument to Sir John Hawkwood,24303
June 5 2008,Émile Lemoine,11528
June 6 2008,Sertraline,28964
June 7 2008,formation and evolution of the Solar System,45633
June 8 2008,Wilco,37227
June 9 2008,Jurassic Park,43747
June 10 2008,2006 Atlantic hurricane season,20824
June 11 2008,George I,30147
June 12 2008,durian,35781
June 13 2008,Priestley Riots,20026
June 14 2008,Flag of Canada,22350
June 15 2008,The World Without Us,19715
June 16 2008,European Commission,31326
June 17 2008,Common Treecreeper,12792
June 18 2008,Chicago Board of Trade Building,23721
June 19 2008,Age of Empires,25823
June 20 2008,HMS Cardiff (D108),17526
June 21 2008,Phishing,27676
June 22 2008,Judy Garland,64887
June 23 2008,Blue Iguana,19803
June 24 2008,Bradley Joseph,30499
June 25 2008,Tiridates I,18086
June 26 2008,Cygnus X-1,22420
June 27 2008,Moe Berg,21618
June 28 2008,Imperial Trans-Antarctic Expedition,45248
June 29 2008,The General in His Labyrinth,37741
June 30 2008,Oxidative phosphorylation,33220
July 1 2008,Conatus,13125
July 2 2008,André Kertész,22026
July 3 2008,Winfield Scott Hancock,28777
July 4 2008,Macintosh Classic,12172
July 5 2008,Typhoon Paka,13743
July 6 2008,Russian–Circassian War,59712
July 7 2008,New York State Route 32,28929
July 8 2008,Edward VIII,40241
July 9 2008,atom,52277
July 10 2008,R.E.M.,46883
July 11 2008,To Kill a Mockingbird,59416
July 12 2008,Genetics,40891
July 13 2008,Palpatine,51032
July 14 2008,The Garden of Earthly Delights,42467
July 15 2008,FairTax,51938
July 16 2008,Guitar Hero,16989
July 17 2008,Puerto Ricans in World War II,34666
July 18 2008,The Quatermass Experiment,20114
July 19 2008,Sir Thomas Playford,65252
July 20 2008,Minneapolis,55342
July 21 2008,Jay Chou,42233
July 22 2008,The Power of Nightmares,20573
July 23 2008,SS Christopher Columbus,10777
July 24 2008,Exmoor,28507
July 25 2008,William Gibson,47113
July 26 2008,history of Solidarity,34532
July 27 2008,T206 Honus Wagner,27377
July 28 2008,Glorious First of June,46209
July 29 2008,Joseph Francis Shea,22577
July 30 2008,Nuthatch,18312
July 31 2008,The Wiggles,45769
August 1 2008,Roy Welensky,30244
August 2 2008,BioShock,53895
August 3 2008,Anna May Wong,41218
August 4 2008,Holden,41640
August 5 2008,Ann Arbor,39154
August 6 2008,William Wilberforce,56445
August 7 2008,history of timekeeping devices,42317
August 8 2008,Yao Ming,27087
August 9 2008,PowerBook 100,13759
August 10 2008,Matthew Brettingham,16416
August 11 2008,Parapsychology,71194
August 12 2008,campaign history of the Roman military,82232
August 13 2008,Hurricane Gloria,26631
August 14 2008,Princess Alice of Battenberg,18934
August 15 2008,Pygmy Hippopotamus,17666
August 16 2008,Peterloo Massacre,44319
August 17 2008,Ryan White,19112
August 18 2008,noble gases,29013
August 19 2008,Flea,52973
August 20 2008,Borobudur,51172
August 21 2008,Madman Muntz,20294
August 22 2008,Poliomyelitis,43731
August 23 2008,Rongorongo,31720
August 24 2008,planet,60314
August 25 2008,Diary of a Camper,7849
August 26 2008,The Penelopiad,20533
August 27 2008,Donald Bradman,65202
August 28 2008,Kaziranga National Park,25786
August 29 2008,Walter de Coventre,16795
August 30 2008,Local Government Commission for England,18165
August 31 2008,Dartmouth College,52985
September 1 2008,Leo Ornstein,15112
September 2 2008,Battle of Dyrrhachium,15507
September 3 2008,Pendle witch trials,28868
September 4 2008,Emmy Noether,59764
September 5 2008,Calgary Flames,52017
September 6 2008,Alanya,30201
September 7 2008,Domestic sheep,54788
September 8 2008,Yellowstone fires of 1988,40217
September 9 2008,Chinua Achebe,54049
September 10 2008,Warwick Castle,30085
September 11 2008,United Airlines Flight 93,41867
September 12 2008,Jackie Chan,44656
September 13 2008,Congregation Baith Israel Anshei Emes,25716
September 14 2008,Francis Harvey,12042
September 15 2008,John Bull,14122
September 16 2008,Viet Nam Quoc Dan Dang,42712
September 17 2008,David Lovering,9488
September 18 2008,Toronto Magnetic and Meteorological Observatory,12153
September 19 2008,Anekantavada,39332
September 20 2008,Jena Six,33967
September 21 2008,Alzheimer's disease,53687
September 22 2008,draining and development of the Everglades,46999
September 23 2008,Augustus,83094
September 24 2008,Mom and Dad,10693
September 25 2008,Zhang Heng,44388
September 26 2008,Verdeja,16999
September 27 2008,Stigand,25722
September 28 2008,Biman Bangladesh Airlines,44166
September 29 2008,Assata Shakur,64338
September 30 2008,Tulip mania,24929
October 1 2008,Anglo-Saxon Chronicle,29619
October 2 2008,Something,25
October 3 2008,noitulovE,15391
October 4 2008,Tyrone Wheatley,32601
October 5 2008,Catherine de' Medici's building projects,23961
October 6 2008,Midtown Madness,11986
October 7 2008,Niagara Falls Suspension Bridge,37130
October 8 2008,Massospondylus,28316
October 9 2008,Akhtar Hameed Khan,14852
October 10 2008,Cleveland Street scandal,21530
October 11 2008,Grass Fight,7350
October 12 2008,Trafford,26954
October 13 2008,Pat Nixon,40493
October 14 2008,subarachnoid hemorrhage,35250
October 16 2008,history of Stoke City F.C.,30933
October 17 2008,IK Pegasi,17814
October 18 2008,James Robert Baker,12359
October 19 2008,Odwalla,11376
October 20 2008,history of Baltimore City College,28833
October 21 2008,Natalee Holloway,49384
October 22 2008,1995 Pacific Grand Prix,17695
October 23 2008,Panic of 1907,28804
October 24 2008,Giant Otter,32843
October 25 2008,Creatures of Impulse,15405
October 26 2008,meteorological history of Hurricane Wilma,14710
October 27 2008,national emblem of Belarus,18986
October 28 2008,NeXT,24053
October 29 2008,Tang Dynasty,97444
October 30 2008,Mary Shelley,64714
October 31 2008,Treehouse of Horror,25274
November 1 2008,Metallica,60730
November 2 2008,attack on Sydney Harbour,42117
November 3 2008,Delhi,51935
November 5 2008,group,62013
November 6 2008,Mario Vargas Llosa,41809
November 7 2008,Komodo dragon,30396
November 8 2008,Just My Imagination (Running Away with Me),9958
November 9 2008,Priestfield Stadium,14837
November 10 2008,Volcanism on Io,26791
November 11 2008,Ronald Niel Stuart,17860
November 12 2008,Joe Sakic,29372
November 13 2008,anti-tobacco movement in Nazi Germany,33319
November 14 2008,Surtsey,17130
November 15 2008,Manchester Bolton & Bury Canal,33750
November 16 2008,Phan Xich Long,20492
November 17 2008,Opeth,30251
November 18 2008,Congregation Beth Elohim,26886
November 19 2008,Greater Crested Tern,15390
November 20 2008,Rokeby Venus,21028
November 21 2008,The Legend of Zelda: Ocarina of Time,33311
November 22 2008,Problem of Apollonius,52993
November 23 2008,Doctor Who missing episodes,48691
November 24 2008,Yttrium,24023
November 25 2008,David I,40713
November 26 2008,1956 FA Cup Final,20838
November 27 2008,Harvey Milk,67133
November 28 2008,pulmonary contusion,36659
November 29 2008,Angus Lewis Macdonald,41681
November 30 2008,Anglo-Zanzibar War,21099
December 1 2008,Rosetta@home,29614
December 2 2008,St Kilda,52227
December 3 2008,Amateur radio in India,17425
December 4 2008,Frank Zappa,79685
December 5 2008,Interstate 70 in Utah,21474
December 6 2008,Emmeline Pankhurst,61615
December 7 2008,USS Nevada (BB-36),28774
December 8 2008,Elaine Paige,29892
December 9 2008,Roman Catholic Archdiocese of Miami,15572
December 10 2008,Olivier Messiaen,32613
December 11 2008,2008 Men's Olympics road race,15951
December 12 2008,Mana series,29049
December 13 2008,Albert Speer,47998
December 14 2008,Riverina,36343
December 15 2008,Getting It: The psychology of est,12141
December 16 2008,criminal trials of the LaRouche movement,39095
December 17 2008,Latter Days,12831
December 18 2008,United Nations Parliamentary Assembly,38721
December 19 2008,Clem Hill,32525
December 20 2008,Richard Hawes,11308
December 21 2008,equipartition theorem,38745
December 22 2008,Sunderland Echo,18265
December 23 2008,Preity Zinta,45833
December 24 2008,rings of Uranus,26061
December 25 2008,Robert Sterling Yard,16788
December 26 2008,Thespis,44778
December 27 2008,Battle of Shiloh,56743
December 28 2008,Elizabeth Needham,9253
December 29 2008,Thylacine,45708
December 30 2008,"Gunnhild, Mother of Kings",19780
December 31 2008,Boydell Shakespeare Gallery,32568
January 1 2009,Beyond Fantasy Fiction,7981
January 2 2009,Richard Cordray,24167
January 3 2009,The Guardian of Education,13533
January 4 2009,Battle of Red Cliffs,20968
January 5 2009,Hanford Site,32983
January 6 2009,Frank Macfarlane Burnet,51962
January 7 2009,Go Man Go,11123
January 8 2009,Alfred Russel Wallace,59946
January 9 2009,Nimrod Expedition,36177
January 10 2009,Woody Guthrie,49161
January 11 2009,Marble Madness,16140
January 12 2009,King Arthur,39409
January 13 2009,Battle of Dien Bien Phu,44384
January 14 2009,4chan,47652
January 15 2009,Alpha Kappa Alpha,33848
January 16 2009,assassination of Robert F. Kennedy,23317
January 17 2009,Neptune,39793
January 18 2009,Jack the Ripper conspiracy theories,19559
January 19 2009,Edgar Allan Poe,33384
January 20 2009,"Washington, D.C.",79070
January 21 2009,Ants,54180
